Fecha,Id,Evento,Resultado,Categorías,Toro,Operario,Comentarios,Evento(0)
2020-06-24,1836,EXREP,INR,,,,,0
2020-06-24,1844,EXREP,INR,,,,leve sucia ette,0
2020-06-24,1099,EXREP,SUCIA,,,,ette 2 b oxi,0
2020-06-24,1793B,EXREP,INR,,,,,0
2020-06-24,1695,EXREP,SUCIA,,,,ette 1 b oxi,0
2020-06-24,1469,EXREP,INR,,,,lacto,0
2020-06-24,1686,EXREP,INR,,,,,0
2020-06-24,1134,EXREP,INR,,,,,0
2020-06-24,1036,EXREP,INR,,,,,0
2020-06-24,1426,EXREP,SUCIA,,,,pentriland,0
2020-06-24,1271,EXREP,INR,,,,,0
2020-06-24,1045,EXREP,O. LISOS,,,,over b,0
2020-06-24,1733B,EXREP,SUCIA,,,,ette 2 b oxi,0
2020-06-24,1955,EXREP,INR,,,,parche ette,0
2020-06-24,9161,EXREP,INR,,,,,0
2020-06-24,1883,EXREP,INR,,,,over b,0
2020-06-22,1866,2SER,Repetir,Inseminación/Toro,80,FERNANDO,sv 102,0
2020-06-21,1049,2SER,Repetir,Inseminación,112,FERNANDO,15:00,0
2020-06-21,1145,2SER,Repetir,Inseminación,80,FERNANDO,102,0
2020-06-21,1630,2SER,Repetir,Inseminación/Toro,80,FERNANDO,sv102,0
2020-06-21,1658,2SER,Repetir,Inseminación/Toro,80,FERNANDO,sv 102,0
2020-06-21,2066,2SER,Repetir,Inseminación,112,FERNANDO,15:00,0
2020-06-20,1311,2SER,Repetir,Ovsynch,112,FERNANDO,04:30,0
2020-06-20,8234,2SER,Repetir,Ovsynch,112,FERNANDO,04:30,0
2020-06-20,1989,1PAR,>,M.MUERT,101,,,0
2020-06-20,1913,2SER,Repetir,Ovsynch,112,FERNANDO,04:30,0
2020-06-19,1825,CA,>,,,,,0
2020-06-19,1891,1PAR,>,H,17,,,0
2020-06-19,1406,2SER,Repetir,Ovsynch,112,FERNANDO,04:30,0
2020-06-18,1812,2SER,Repetir,Inseminación,112,FERNANDO,05:00,0
2020-06-18,1040,EXREP,INR,,,,parche ojo al celo,0
2020-06-17,1864,EXREP,O. LISOS,,,,overB,0
2020-06-17,1955,CA,>,,,,,0
2020-06-17,1840,OVSYN,.,,,,,0
2020-06-17,1947,EXREP,INR,,,,,0
2020-06-17,1271,EXREP,SUCIA,,,,ette,0
2020-06-17,1582,VAREP,,,,,,0
2020-06-17,1752B,VAREP,,,,,,0
2020-06-17,1630,REABS,0,,,,,0
2020-06-17,1951,DPR,Cargada Macho,,111,,,0
2020-06-17,1697,OVSYN,.,,,,dispositivo,0
2020-06-17,1812,ECOGR,Negativo,,,,"ojo al celo, sv",0
2020-06-17,1883,CA,>,,,,,0
2020-06-17,1582,EXREP,INR,,,,,0
2020-06-17,1099,EXREP,INR,,,,,0
2020-06-17,1721,OVSYN,.,,,,,0
2020-06-17,1514,EXREP,INR,,,,,0
2020-06-17,2081,ECOGR,Positivo,,112,,,0
2020-06-17,1881,OVS2,32,,,,,0
2020-06-17,1426,EXREP,SUCIA,,,,ette,0
2020-06-17,1071,EXREP,INR,,,,,0
2020-06-17,1311,ECOGR,Negativo  OVS2,,,,,0
2020-06-17,9033,2SER,Repetir,Inseminación/Toro,80,FERNANDO,sv 102,0
2020-06-17,9152,OVSYN,.,,,,,0
2020-06-17,1836,VAREP,,,,,,0
2020-06-17,1976,EXREP,Lactoinducir,,,,,0
2020-06-17,1036,EXREP,INR,,,,,0
2020-06-17,1040,VAREP,,,,,,0
2020-06-17,1860,ECO2,Positivo,,,,,0
2020-06-17,1702,OVSYN,.,,,,dispositivo,0
2020-06-17,1737,VAREP,,,,,,0
2020-06-17,1793B,VAREP,,,,,,0
2020-06-17,1818,DP5,Cargada,,,,,0
2020-06-17,1771,EXREP,O. LISOS,,,,overB,0
2020-06-17,1270,ECOGR,Negativo,,,,venta,0
2020-06-17,1801,DPR,Cargada Macho,,102,,,0
2020-06-17,1435,EXREP,DESCARTE,,,,,0
2020-06-17,1836,EXREP,INR,,,,,0
2020-06-17,1909,EXREP,SUCIA,,,,ette,0
2020-06-17,1913,ECOGR,Negativo  OVS2,,,,,0
2020-06-17,1733B,EXREP,SUCIA,,,,ette,0
2020-06-17,9161,1PAR,>,M,17,,,0
2020-06-17,1738B,EXREP,INR,,,,,0
2020-06-17,1040,REABS,0,,,,,0
2020-06-17,1930,DPSEC,Positivo,,,,,0
2020-06-17,1737,EXREP,INR,,,,,0
2020-06-17,1695,EXREP,SUCIA,,,,ette 1 b oxi,0
2020-06-17,1931,VAREP,,,,,,0
2020-06-17,1931,EXREP,INR,,,,,0
2020-06-17,1040,ECOGR,Negativo,,,,ME ette dpc,0
2020-06-17,1752B,EXREP,INR,,,,,0
2020-06-17,8138,ECOGR,Dudoso,,,,,0
2020-06-17,1913,OVS2,32,,,,,0
2020-06-17,1148,ECOGR,Positivo,,102,,gestavec,0
2020-06-17,1940,EXREP,INR,,,,,0
2020-06-17,1721,ECOGR,Negativo Ovsyn,,,,,0
2020-06-17,1938,DPSEC,Positivo,,,,,0
2020-06-17,1743B,ECOGR,Positivo,,80,,gestavec,0
2020-06-17,1629,EXREP,O. LISOS,,,,overB,0
2020-06-17,1815,EXREP,O. LISOS,,,,overB,0
2020-06-17,1508,EXREP,INR,,,,,0
2020-06-17,1910,EXREP,SUCIA,,,,ette,0
2020-06-17,8234,ECOGR,Negativo  OVS2,,,,,0
2020-06-17,2032,ECOGR,Positivo,,20,,,0
2020-06-17,9195,ECOGR,Negativo  OVS2,,,,cancer vulva,0
2020-06-17,1406,ECOGR,Negativo  OVS2,,,,,0
2020-06-17,1840,EXREP,OVSYN,,,,,0
2020-06-17,1697,EXREP,OVSYN,,,,,0
2020-06-17,2044,DP5,Cargada,,,,,0
2020-06-17,1236,ECO2,Positivo,,,,,0
2020-06-17,8100,EXREP,OVSYN,,,,,0
2020-06-17,8100,OVSYN,.,,,,,0
2020-06-17,2039,EXREP,OVSYN,,,,"o.lisos, overB",0
2020-06-17,2039,OVSYN,.,,,,dispositivo,0
2020-06-17,1866,ECOGR,Negativo,,,,ette sv toro,0
2020-06-17,1844,EXREP,INR,,,,,0
2020-06-17,1955,ECOGR,Negativo,,,,"sucia, ette re.ex",0
2020-06-17,252J,DP5,Cargada,,,,,0
2020-06-17,1671,ECOGR,Positivo,,110,,,0
2020-06-17,1634,ECO2,Positivo,,,,,0
2020-06-17,1641,OVSYN,.,,,,,0
2020-06-17,1641,EXREP,OVSYN,,,,,0
2020-06-17,2049,DPR,Cargada Hembra,,102,,,0
2020-06-17,1036,VAREP,,,,,,0
2020-06-17,1630,ECOGR,Negativo,,,,ME ette no sv,0
2020-06-17,1967,EXREP,INR,,,,,0
2020-06-17,25B,DPSEC,Positivo,,,,,0
2020-06-17,1614,ECOGR,Positivo,,110,,,0
2020-06-17,1827,EXREP,OVSYN,,,,,0
2020-06-17,1702,EXREP,OVSYN,,,,"O.lisos, OverB",0
2020-06-17,1788B,ECOGR,Positivo,,110,,,0
2020-06-17,9195,OVS2,32,,,,,0
2020-06-17,1785B,ECO2,Positivo,,,,,0
2020-06-17,2023,CA,>,,,,,0
2020-06-17,245J,DPSEC,Positivo,,,,,0
2020-06-17,262J,ECOGR,Negativo  OVS2,,,,,0
2020-06-17,1311,OVS2,25,,,,,0
2020-06-17,1590,EXREP,O. LISOS,,,,overB,0
2020-06-17,9033,EXREP,SV,,,,sv toro hoy,0
2020-06-17,1491,ECOGR,Positivo,,80,,,0
2020-06-17,1827,OVSYN,.,,,,,0
2020-06-17,1420,ECOGR,Positivo,,106,,,0
2020-06-17,1045,EXREP,SUCIA,,,,ette 2 b oxi,0
2020-06-17,8234,OVS2,32,,,,,0
2020-06-17,1881,ECOGR,Negativo  OVS2,,,,,0
2020-06-17,262J,OVS2,32,,,,,0
2020-06-17,1690,OVSYN,.,,,,,0
2020-06-17,1690,EXREP,OVSYN,,,,,0
2020-06-17,9152,EXREP,OVSYN,,,,,0
2020-06-17,1793B,EXREP,SUCIA,,,,1 b tilosina,0
2020-06-17,1406,OVS2,32,,,,,0
2020-06-17,1787B,ECOGR,Negativo Ovsyn,,,,si celo toro,0
2020-06-17,8096,EXREP,O. LISOS,,,,belamyl,0
2020-06-17,1686,EXREP,INR,,,,,0
2020-06-17,1858,DPSEC,Positivo,,,,,0
2020-06-17,7031,DPR,Cargada,,103,,,0
2020-06-17,1787B,OVSYN,.,,,,,0
2020-06-17,1854,EXREP,INR,,,,,0
2020-06-17,1681,ECOGR,Negativo,,,,cld ette sv 80x103,0
2020-06-17,242J,EXREP,OVSYN,,,,,0
2020-06-17,242J,OVSYN,.,,,,,0
2020-06-16,1844,1PAR,>,H,101,,,0
2020-06-16,1178,2SER,Repetir,Inseminación/Toro,80,FERNANDO,sv 102,0
2020-06-14,1793B,CA,>,,,,,0
2020-06-14,1682,2SER,Repetir,Inseminación,112,FERNANDO,15:30,0
2020-06-14,1584,2SER,Repetir,Inseminación/Toro,80,,sv 102,0
2020-06-13,2052,2SER,Repetir,Ovsynch,112,FERNANDO,5:00,0
2020-06-13,1867,2SER,Repetir,Ovsynch,112,NELSON,5:25,0
2020-06-13,257J,2SER,Repetir,Ovsynch,112,NELSON,6:15,0
2020-06-13,250J,2SER,Repetir,Ovsynch,104,NELSON,5:00,0
2020-06-13,2006,2SER,Repetir,Ovsynch,111,NELSON,5:23,0
2020-06-13,1813,2SER,Repetir,Inseminación/Toro,80,,sv 102,0
2020-06-13,1607,2SER,Repetir,Ovsynch,110,FERNANDO,5:00,0
2020-06-13,8215,2SER,Repetir,Ovsynch,110,FERNANDO,4:30,0
2020-06-13,1600,2SER,Repetir,Ovsynch,112,FERNANDO,5:00,0
2020-06-13,2058,2SER,Repetir,Ovsynch,112,FERNANDO,5:00,0
