VACA,NOMBRE,HATO,AI,AD,PI,PD,ORDEÑADOR,Observación,FECHA CHEQUEO,UBRE SANA,CAL. UBRE,GAP,CHEQUEO / REVISIÓN
20,20B,R3,0,1,0,0,ANDRES,,2019-10-18,0.75,0.75,0.0,C
653,653,R3,1,1,1,1,MARTHA,,2019-10-18,0.0,0.0,0.0,C
705,705,R3,4,1,0,0,MARTHA,Retiro por tratamiento mastitis,2019-10-18,0.5,-0.25,0.75,C
1014,1014,R3,0,0,0,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
1036,1036,R3,0,0,0,P,ANDRES,,2019-10-18,1.0,1.0,0.0,C
1040,1040,R3,0,0,0,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
1045,1045,R3,P,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1049,1049,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1055,1055,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1057,1057,R3,2,2,0,0,ANDRES,,2019-10-18,0.5,0.0,0.5,C
1063,1063,R3,0,0,0,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
1070,1070,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1071,1071,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1073,1073,R3,0,0,1,0,MARTHA,,2019-10-18,0.75,0.75,0.0,C
1078,1078,R3,0,0,P,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
1082,1082,R3,0,0,2,0,ANDRES,,2019-10-18,0.75,0.5,0.25,C
1085,1085,R3,0,1,0,0,ANDRES,,2019-10-18,0.75,0.75,0.0,C
1086,1086,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1092,1092,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1098,1098,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1099,1099,R3,0,0,0,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
1103,1103,R3,P,0,P,1,ANDRES,,2019-10-18,0.5,0.5,0.0,C
1140,1140,R3,0,1,0,0,MARTHA,,2019-10-18,0.75,0.75,0.0,C
1152,1152,R3,0,0,P,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
1172,1172,R3,0,0,0,P,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1183,1183,R3,P,1,1,1,ANDRES,,2019-10-18,0.0,0.0,0.0,C
1184,1184,R3,0,0,0,1,ANDRES,,2019-10-18,0.75,0.75,0.0,C
1186,1186,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1204,1204,R3,0,1,0,1,MARTHA,,2019-10-18,0.5,0.5,0.0,C
1210,1210,R3,0,P,0,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
1216,1216,R3,1,0,0,0,MARTHA,,2019-10-18,0.75,0.75,0.0,C
1236,1236,R3,0,0,P,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
1242,1242,R3,P,0,0,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
1244,1244,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1246,1246,R3,0,0,0,2,ANDRES,,2019-10-18,0.75,0.5,0.25,C
1251,1251,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1252,1252,R3,0,0,1,0,ANDRES,,2019-10-18,0.75,0.75,0.0,C
1270,1270,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1271,1271,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1277,1277,R3,P,0,1,0,MARTHA,,2019-10-18,0.6666666666666667,0.6666666666666667,0.0,C
1285,1285,R3,1,0,0,0,ANDRES,,2019-10-18,0.75,0.75,0.0,C
1311,1311,R3,3,1,3,1,MARTHA,Evaluar estado reproductivo. Reforzar rutina de ordeño,2019-10-18,0.0,-1.0,1.0,C
1318,1318,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1329,1329,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1346,1346,R3,1,1,1,1,MARTHA,,2019-10-18,0.0,0.0,0.0,C
1350,1350,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1370,1370,R3,P,0,0,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
1396,1396,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1406,1406,R3,0,1,0,0,ANDRES,,2019-10-18,0.75,0.75,0.0,C
1420,1420,R3,0,0,0,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
1425,1425,R3,0,0,0,P,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1426,1426,R3,0,0,0,1,ANDRES,,2019-10-18,0.75,0.75,0.0,C
1435,1435,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1443,1443,R3,0,0,0,P,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1444,1444,R3,3,2,2,1,ANDRES,Reforzar rutina de ordeño. Realizar mayor despunte.,2019-10-18,0.0,-1.0,1.0,C
1446,1446,R3,0,0,0,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
1451,1451,R3,1,0,0,0,MARTHA,,2019-10-18,0.75,0.75,0.0,C
1463,1463,R3,0,0,0,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
1469,1469,R3,0,0,0,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
1504,1504,R3,P,0,1,0,MARTHA,,2019-10-18,0.6666666666666667,0.6666666666666667,0.0,C
1508,1508,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1514,1514,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1518,1518,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1523,1523,R3,P,0,0,1,ANDRES,,2019-10-18,0.6666666666666667,0.6666666666666667,0.0,C
1534,1534,R3,0,0,0,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
1540,1540,R3,0,0,1,0,ANDRES,,2019-10-18,0.75,0.75,0.0,C
1542,1542,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1544,1544,R3,0,0,0,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
1547,1547,R3,0,P,0,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
1548,1548,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1552,1552,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1554,1554,R3,P,0,0,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
1556,1556,R3,0,0,P,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1564,1564,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1573,1573,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1576,1576,R3,2,0,0,1,ANDRES,,2019-10-18,0.5,0.25,0.25,C
1580,1580,R3,4,4,4,4,MARTHA,"LECHE AMARILLA, realizar tratamiento antes de secar. ",2019-10-18,0.0,-3.0,3.0,C
1602,1602,R3,0,0,0,1,ANDRES,,2019-10-18,0.75,0.75,0.0,C
1603,1603,R3,0,0,0,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
1613,1613,R3,0,4,1,0,ANDRES,Retiro por tratamiento mastitis,2019-10-18,0.5,-0.25,0.75,C
1618,1618,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1620,1620,R3,0,0,0,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
1641,1641,R3,1,0,0,0,MARTHA,,2019-10-18,0.75,0.75,0.0,C
1642,1642,R3,0,0,0,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
1649,1649,R3,0,2,0,2,MARTHA,,2019-10-18,0.5,0.0,0.5,C
1654,1654,R3,0,1,0,0,ANDRES,,2019-10-18,0.75,0.75,0.0,C
1662,1662,R3,0,0,2,0,ANDRES,,2019-10-18,0.75,0.5,0.25,C
1671,1671,R3,4,1,0,0,ANDRES,Reforzar rutina de ordeño.,2019-10-18,0.5,-0.25,0.75,C
1698,1698,R3,0,0,P,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
1717,1717,R3,0,2,0,0,MARTHA,,2019-10-18,0.75,0.5,0.25,C
1731,1731,R3,0,1,0,0,ANDRES,,2019-10-18,0.75,0.75,0.0,C
1735,1735B,R3,0,0,0,4,ANDRES,Retiro por tratamiento mastitis,2019-10-18,0.75,0.0,0.75,C
1744,1744,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1801,1801,R3,0,0,0,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
1820,1820,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1825,1825,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1840,1840,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
1846,1846,R3,0,0,0,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
1853,1853,R3,0,1,0,0,ANDRES,,2019-10-18,0.75,0.75,0.0,C
1854,1854,R3,0,0,0,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
1891,1891,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
2469,2469,R3,0,1,1,1,MARTHA,,2019-10-18,0.25,0.25,0.0,C
4271,4271,R3,0,0,0,2,MARTHA,,2019-10-18,0.75,0.5,0.25,C
6054,6054,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
6153,6153,R3,0,0,0,1,ANDRES,,2019-10-18,0.75,0.75,0.0,C
7096,7096,R3,2,2,0,0,MARTHA,,2019-10-18,0.5,0.0,0.5,C
8010,8010,R3,0,0,0,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
8021,8021,R3,0,0,0,2,ANDRES,,2019-10-18,0.75,0.5,0.25,C
8093,8093,R3,1,0,1,0,ANDRES,,2019-10-18,0.5,0.5,0.0,C
8099,8099,R3,0,0,1,0,ANDRES,,2019-10-18,0.75,0.75,0.0,C
8100,8100,R3,1,0,P,0,ANDRES,,2019-10-18,0.6666666666666667,0.6666666666666667,0.0,C
8137,8137,R3,1,1,0,0,ANDRES,,2019-10-18,0.5,0.5,0.0,C
8138,8138,R3,1,1,P,1,MARTHA,,2019-10-18,0.0,0.0,0.0,C
8170,8170,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
8209,8209,R3,2,P,1,0,ANDRES,,2019-10-18,0.33333333333333337,0.0,0.33333333333333337,C
8215,8215,R3,1,1,3,0,ANDRES,Reforzar rutina de ordeño. Realizar mayor despunte.,2019-10-18,0.25,-0.25,0.5,C
8223,8223,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
8234,8234,R3,0,0,0,1,ANDRES,,2019-10-18,0.75,0.75,0.0,C
9025,9025,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
9120,9120,R3,0,0,1,0,MARTHA,,2019-10-18,0.75,0.75,0.0,C
9122,9122,R3,0,1,0,0,ANDRES,,2019-10-18,0.75,0.75,0.0,C
9141,9141,R3,1,1,0,0,MARTHA,,2019-10-18,0.5,0.5,0.0,C
9151,9151,R3,0,0,0,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
9152,9152,R3,0,0,0,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
9161,9161,R3,1,2,1,0,MARTHA,,2019-10-18,0.25,0.0,0.25,C
9165,9165,R3,1,1,1,0,ANDRES,,2019-10-18,0.25,0.25,0.0,C
9173,9173,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
9174,9174,R3,0,0,0,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
9176,9176,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
9188,9188,R3,0,0,0,0,MARTHA,,2019-10-18,1.0,1.0,0.0,C
40614,40614,R3,0,0,0,0,ANDRES,,2019-10-18,1.0,1.0,0.0,C
20,20B,R3,0,0,1,1,ANDRES,,2019-11-14,0.5,0.5,0.0,C
