Fecha		Peso	Cond.	Costo	Comentarios
12/04/2018......41	-1	45.0			
10/05/2018......69	-1	64.0			
9/08/2018......160	-1	136.0			edo kolosal
14/09/2018....196	-1	152.0			
17/11/2018....260	-1	203.0			
27/12/2018....300	-1	232.0			
24/01/2019....328	-1	244.0			
28/02/2019....363	-1	255.0			
28/03/2019....391	-1	283.0			
8/05/2019......432	-1	301.0			
5/07/2019......490	-1	325.0			belamyl
1/08/2019......517	-1	368.0			
29/08/2019....545	-1	392.0			belamyl
6/02/2020......706	-1	464.0			
12/03/2020....741	-1	473.0			
1/04/2020......761	-1	470.0			
					
