N	Días	Fecha	Día kg	CCS '000	Conc.
1	20	15/12/2018	23.0		7
2	36	31/12/2018	28.9		9
3	51	15/01/2019	34.9		9
4	66	30/01/2019	31.8		9
5	79	12/02/2019	35.4		10
6	94	27/02/2019	35.3		10
7	107	12/03/2019	32.5		10
8	123	28/03/2019	31.0		10
9	143	17/04/2019	19.7		7
10	157	1/05/2019	25.5		7
11	171	15/05/2019	23.1		7
12	187	31/05/2019	24.8		7
13	202	15/06/2019	22.2		7
14	217	30/06/2019	20.0		5
15	232	15/07/2019	23.1		7
16	242	25/07/2019	23.6		7
17	263	15/08/2019	23.6		7
18	276	28/08/2019	24.4		7
19	291	12/09/2019	24.0		7
20	306	27/09/2019	24.9		7
21	324	15/10/2019	25.0		9
22	339	30/10/2019	24.9		7
23	353	13/11/2019	23.9		5
24	369	29/11/2019	19.9		5
25	383	13/12/2019	22.8		7
26	416	15/01/2020	18.9		5
27	432	31/01/2020	17.4		5
28	445	13/02/2020	19.1		5
29	460	28/02/2020	19.1		5
30	474	13/03/2020	16.2		5
31	489	28/03/2020	14.8		3
32	512	20/04/2020	17.6		5
33	522	30/04/2020	17.4		5
34	541	19/05/2020	14.7		3
35	552	30/05/2020	15.3		5
36	566	13/06/2020	12.9		3
					
