Hato	Lote	Grupo	Ubicación	ID	Referencia	Color	Raza	Sexo/ tipo	Padre	Madre gen.	Madre 	Edad	Estado	Nacimiento	Peso nacim.	Destete	Peso destete	kg/d destete	Fecha ultimo peso	Ultimo peso	kg/d dest/últ	kg/d nac./últ.	Entrada	Origen	Peso entrada	Valor entrada	Salida	Destino	Peso salida	Valor salida	kg ganados	$ ganados	kg/d	$/d	Int. entre partos	No. crías	kg.prom. nacim.	kg dest. (vida)	Valor prom. destete	kg/d al destete /IEP	$/d  al destete	Leche lact. (vida)	Leche 305d (vida)	Leche vida vs.hato	Prot. vida vs.hato	Grasa vida vs.hato	Leche /día/IEP	Prot /día	Grasa /día	Costo /día	P	Ult. parto	1er. celo	Ult. celo	Toro programado	1er ser	# ser	Ult. servicio	Toro últ.serv.	Dias serv	Ult. diag. preñez	Ult. resultado	Preñada del toro	Concepción	Días preñez	No. crías	Destete	kg dest.	$ dest.	Secado	Leche lactan.	Leche 305d	Prot. lac. kg	Prot. 305d  kg	Grasa lact. kg	Grasa 305d kg	Lt  Lact. vs.hato	Prot. lac vs hato	Grasa lac. vs hato	Costo eventos	Prot.% prom	Grasa% prom	Lac.% prom	CSS'000 prom	Fecha últ. leche	Ult. leche	%últ. prot.	%últ. grasa	%últ. lacto.	Ult. CCS '000	Próximo parto 	Nombre	Numero	Registro	Id. Electrónica	Nombre largo	Retiro leche hasta	Retiro carne hasta	Cría (este parto)	AM	PM	TOTAL	Fecha inicio lactoinducción	Comentarios	Mes últ. parto	Mes prox. parto	Estado fertilidad	Estado lactancia	Toro últ. parto	Edad 1er. parto	Peso 1er. parto	Inicio servicio	Ult. TE	Donadora	Ult. aborto	No. abo (vida)	Tercio lactancia	Días al pico	Prod. al pico	Leche acumulada	Leche/día acum.	Leche/ día vida	Conc./ día 	Conc. acumulado	Conc./leche actual	Conc./leche acumulado	Días secos (actual)	Prom. días secos	Kg/día 	kg/día desde entrada	Ult. cond. corporal	Cond. corp.	Abuelo materno	Leche lact. madre	Leche 305d madre	Leche vrs. hato 	kg/dia al destete 	kg/día dest (vida)	Reg. leche	Life high SCC	Curr. high SCC	Mast. vida	Mast. act.	Cojera vida	Cojera act.	Prom part -conc.	Vida serv-concep.	Prog. Novillas	Prog. vacas	Prog. machos
RC		R 2		01                  			HO	He:Rp	6	2190	2190	2a7m	Ser/Lac	11/09/2018	35.0	12/09/2018...1	35.5	0.507	17/01/2020493	361.0	0.662	0.661							500.0		500.0		0.527			1	35.0						5'338	109%	100%	100%	2.8			$317	 1	15/02/202169	26/03/2021.39	17/04/2021.61		17/04/2021.61	1	17/04/2021.61	124	8						1	16/02/2021...1				5'338	5'338					109%	100%	100%	$20'000					15/04/2021.59	17.4						01	01		900113001750165				M-01-1(Ma:Rp)						2021/02 (febrero)		Ser	Lac	109	2a5m	479	4/02/2022					1 0-100	42	17.9	1'038	17.6	17.6	7.0	295	0.402	0.284							88	4'431	4'119	78%			4	0	0	0	0	0	0		4.0			
ISLA		PARAI		03                  			HO	He:Rp	80	1234	1234	2a7m	PR/Lac	14/09/2018	35.0	15/09/2018...1	35.3	0.281	17/01/2020490	352.0	0.648	0.647							500.0		500.0		0.538		355	1	35.0	35.5	$100'000				5'433	123%	100%	100%	9.2			$129	 1	11/11/2020165	23/01/2021.73	23/01/2021.73		23/01/2021.73	1	23/01/2021.73	113	92	7/04/2021.147	Cargada He	113	23/01/2021.73	92	1	12/11/2020...1	35.5	$100'000	2/09/2021.295	5'433	5'433					123%	100%	100%	$20'000					15/04/2021155	15.8					1/11/2021.355	03	03		900113001750102				M-03-1(Ma:Rp)						2020/11 (noviembre)	2021/11 (noviembre)	PR	Lac	109	2a1m	430	31/10/2021					2 101-200	49	24.5	3'249	21.0	21.0	5.0	855	0.316	0.263							57	7'143	6'287	105%			10	0	0	0	0	0	0	73	1.0			
ISLA		PARAI		04                  			HO(75%) x GY(25%)	He:Rp	6	2391	2391	2a7m	PR/Lac	18/09/2018	35.0	19/09/2018...1	35.4	0.450	17/01/2020486	344.0	0.636	0.636							500.0		500.0		0.541		344	1	35.0	34.5					5'900	125%	100%	100%	8.8			$139	 1	22/11/2020154	23/01/2021.62	23/01/2021.62		23/01/2021.62	1	23/01/2021.62	113	92	7/04/2021.136	Cargada Ma	113	23/01/2021.62	92	1	23/11/2020...1	34.5		2/09/2021.284	5'900	5'900					125%	100%	100%	$20'000					15/04/2021144	20.7					1/11/2021.344	04	04		900113001750151				451(He:Rp)						2020/11 (noviembre)	2021/11 (noviembre)	PR	Lac	109	2a2m	433	11/11/2021					2 101-200	38	23.7	3'031	21.0	21.0	7.0	896	0.338	0.296							1	6'648	6'770	112%			10	0	0	0	0	0	0	62	1.0	451		
RC		R 3		04B                 			HO	He:Rp	98		1489	5a10m	Ser/Lac	30/05/2015	35.0	31/05/2015...1	35.7	0.724	21/07/2016418	360.0	0.778	0.778							500.0		500.0		0.235		408	4	35.0	35.5	$8'497	0.087	$21	6'400	6'530	110%	100%	100%	14.6			$120	 4	3/11/2020173	6/12/2020...33	30/03/2021147		31/12/2020.58	5	30/03/2021147	80	26						1	4/11/2020.....1	35.5			8'378	8'378					139%	100%	100%	$87'000					15/04/2021163	25.0						04B	04B		900113000048254				M-04B-4(Ma:Rp)						2020/11 (noviembre)		Ser	Lac	108	2a0m	415	23/10/2021				1	2 101-200	57	38.0	5'159	31.7	21.1	10.0	1'479	0.400	0.287		78											76	0	0	1	0	0	0	123	2.3		2766	
RC		R 2		05                  			HO	He:Rp	6	2368	2368	2a7m	PR/Lac	18/09/2018	35.0	19/09/2018...1	35.5	0.500	17/01/2020486	364.0	0.677	0.677							500.0		500.0		0.541		366	1	35.0	34.9					4'783	109%	100%	100%	7.5			$779	 1	18/11/2020158	23/01/2021.66	10/02/2021.84		23/01/2021.66	2	10/02/2021.84	114	74	21/04/2021154	Cargada He	114	10/02/2021.84	74	1	19/11/2020...1	34.9		20/09/2021306	4'808	4'783					109%	100%	100%	$120'000					15/04/2021148	13.3					19/11/2021366	05	05		900113001750130				449(He:Rp)						2020/11 (noviembre)	2021/11 (noviembre)	PR	Lac	109	2a2m	431	7/11/2021					2 101-200	42	21.6	2'743	18.5	18.5	5.0	830	0.376	0.303							94	8'879	6'796	124%			10	0	0	0	0	0	0	84	1.5	449		
RC		R 2		06                  			HO	He:Rp	6	2337	2337	2a7m	Ser/Lac	21/09/2018	35.0	22/09/2018...1	35.6	0.596	17/01/2020483	342.0	0.636	0.636							500.0		500.0		0.542			1	32.0	31.9					5'102	114%	100%	100%	5.2			$833	 1	28/12/2020118	11/01/2021.14	10/04/2021103		6/03/2021...68	2	10/04/2021103	123	15	7/04/2021.100	Negativo  				1	29/12/2020...1	31.9			5'102	5'102					114%	100%	100%	$90'000					15/04/2021108	15.9						06	06		900113001750146				480(He:Rp)						2020/12 (diciembre)		Ser	Lac	109	2a3m	450	17/12/2021					2 101-200	63	21.5	2'030	18.8	18.8	5.0	596	0.314	0.294							85	4'782	4'641	84%			7	0	0	0	0	0	0		2.0	480		
RC		R 2		07                  			HO	He:Rp	7	1591	1591	2a7m	Ca/Lac	21/09/2018	35.0	22/09/2018...1	35.4	0.439	1/04/2020.558	374.0	0.608	0.608							500.0		500.0		0.542			1	35.0	35.5					5'494	108%	100%	100%					 1	23/03/202133	7/04/2021...15	7/04/2021...15			0									1	24/03/2021...1	35.5			5'494	5'494					108%	100%	100%						15/04/2021.23	16.8						07	07		900113001750162				M-07-1(Ma:Rp)						2021/03 (marzo)		Ca	Lac	109	2a6m	492	12/03/2022					1 0-100	23	16.8	0	0.0	0.0	7.0	0	0.417								66	6'083	5'960	103%			1	0	0	0	0	0	0		2.0			
ISLA		PARAI		08                  			HO	He:Rp	6	2355	2355	2a7m	Nc/Lac	23/09/2018	35.0	24/09/2018...1	35.4	0.400	1/04/2020.556	380.0	0.621	0.621							500.0		500.0		0.533			1	35.0	35.5					5'069	100%	100%	100%					 1	15/04/202110					0									1	16/04/2021...1	35.5			5'069	5'069					100%	100%	100%													08	08		900113001750106				529(He:Rp)						2021/04 (abril)		Nc	Lac	109	2a6m	500	4/04/2022					1 0-100			0				0										6'783	7'079	123%			0	0	0	0	0	0	0		3.0	529		
RC		R 2		09                  			HO	He:Rp	6	1980	1980	2a7m	PR/Lac	24/09/2018	35.0	25/09/2018...1	35.4	0.426	17/01/2020480	357.0	0.671	0.671							500.0		500.0		0.544		362	1	40.0	40.1					6'180	131%	100%	100%	9.8			$510	 1	9/11/2020167	18/12/2020.39	28/01/2021.80		7/01/2021...59	2	28/01/2021.80	114	87	7/04/2021.149	Cargada Ma	114	28/01/2021.80	87	1	10/11/2020...1	40.1		7/09/2021.302	6'180	6'180					131%	100%	100%	$80'000					15/04/2021157	18.5					6/11/2021.362	09	09		900113001750144				444(He:Rp)						2020/11 (noviembre)	2021/11 (noviembre)	PR	Lac	107	2a1m	424	29/10/2021					2 101-200	36	27.6	3'537	22.5	22.5	5.0	1'091	0.270	0.308							COLDSPRING	3'428	3'428	66%			10	0	0	0	0	0	0	80	1.5	444		
RC		R 2		10                  			HO	He:Rp	6	2377	2377	2a7m	Nc/Lac	24/09/2018	35.0	25/09/2018...1	35.5	0.519	6/05/2020.590	371.0	0.570	0.569							500.0		500.0		0.544			1	35.0	35.5	$111'111				4'058	74%	100%	100%	1.3				 1	5/03/202151					0									1	6/03/2021.....1	35.5	$111'111		4'058	4'058					74%	100%	100%						15/04/2021.41	13.2						10	10		900113001750120				M-10-1(Ma:Rp)						2021/03 (marzo)		Nc	Lac	5	2a5m	482	22/02/2022					1 0-100	41	13.2	473	11.5	11.5	7.0	205	0.530	0.434							89	6'027	6'108	109%			3	0	0	0	0	0	0		3.0			
