,date,HATO,variable,value,HATO_C
0,2019-08-08,ISLA,name,La_Isla-Lote_ML_4,ISLA
2595,2019-08-08,ISLA,lag_1,,ISLA_1
5190,2019-08-08,ISLA,lag_2,,ISLA_2
7785,2019-08-08,ISLA,lag_3,,ISLA_3
1,2019-08-09,ISLA,name,La_Isla-Lote_ML_4,ISLA
2596,2019-08-09,ISLA,lag_1,,ISLA_1
5191,2019-08-09,ISLA,lag_2,,ISLA_2
7786,2019-08-09,ISLA,lag_3,,ISLA_3
2,2019-08-10,ISLA,name,La_Isla-Lote_18,ISLA
2597,2019-08-10,ISLA,lag_1,La_Isla-Lote_ML_4,ISLA_1
5192,2019-08-10,ISLA,lag_2,,ISLA_2
7787,2019-08-10,ISLA,lag_3,,ISLA_3
3,2019-08-11,ISLA,name,La_Isla-Lote_18,ISLA
2598,2019-08-11,ISLA,lag_1,La_Isla-Lote_ML_4,ISLA_1
5193,2019-08-11,ISLA,lag_2,,ISLA_2
7788,2019-08-11,ISLA,lag_3,,ISLA_3
4,2019-08-12,ISLA,name,La_Isla-Lote_18,ISLA
2599,2019-08-12,ISLA,lag_1,La_Isla-Lote_ML_4,ISLA_1
5194,2019-08-12,ISLA,lag_2,,ISLA_2
7789,2019-08-12,ISLA,lag_3,,ISLA_3
5,2019-08-13,ISLA,name,La_Isla-Lote_18,ISLA
2600,2019-08-13,ISLA,lag_1,La_Isla-Lote_ML_4,ISLA_1
5195,2019-08-13,ISLA,lag_2,,ISLA_2
7790,2019-08-13,ISLA,lag_3,,ISLA_3
6,2019-08-14,ISLA,name,La_Isla-Lote_18,ISLA
2601,2019-08-14,ISLA,lag_1,La_Isla-Lote_ML_4,ISLA_1
5196,2019-08-14,ISLA,lag_2,,ISLA_2
7791,2019-08-14,ISLA,lag_3,,ISLA_3
7,2019-08-15,ISLA,name,La_Isla-Lote_18,ISLA
2602,2019-08-15,ISLA,lag_1,La_Isla-Lote_ML_4,ISLA_1
5197,2019-08-15,ISLA,lag_2,,ISLA_2
7792,2019-08-15,ISLA,lag_3,,ISLA_3
8,2019-08-16,ISLA,name,La_Isla-Lote_18,ISLA
2603,2019-08-16,ISLA,lag_1,La_Isla-Lote_ML_4,ISLA_1
5198,2019-08-16,ISLA,lag_2,,ISLA_2
7793,2019-08-16,ISLA,lag_3,,ISLA_3
9,2019-08-17,ISLA,name,La_Isla-Lote_18,ISLA
2604,2019-08-17,ISLA,lag_1,La_Isla-Lote_ML_4,ISLA_1
5199,2019-08-17,ISLA,lag_2,,ISLA_2
7794,2019-08-17,ISLA,lag_3,,ISLA_3
10,2019-08-18,ISLA,name,La_Isla-Lote_5,ISLA
2605,2019-08-18,ISLA,lag_1,La_Isla-Lote_18,ISLA_1
5200,2019-08-18,ISLA,lag_2,La_Isla-Lote_ML_4,ISLA_2
7795,2019-08-18,ISLA,lag_3,,ISLA_3
11,2019-08-19,ISLA,name,La_Isla-Lote_5,ISLA
2606,2019-08-19,ISLA,lag_1,La_Isla-Lote_18,ISLA_1
5201,2019-08-19,ISLA,lag_2,La_Isla-Lote_ML_4,ISLA_2
7796,2019-08-19,ISLA,lag_3,,ISLA_3
12,2019-08-20,ISLA,name,La_Isla-Lote_5,ISLA
2607,2019-08-20,ISLA,lag_1,La_Isla-Lote_18,ISLA_1
5202,2019-08-20,ISLA,lag_2,La_Isla-Lote_ML_4,ISLA_2
7797,2019-08-20,ISLA,lag_3,,ISLA_3
13,2019-08-21,ISLA,name,La_Isla-Lote_5,ISLA
2608,2019-08-21,ISLA,lag_1,La_Isla-Lote_18,ISLA_1
5203,2019-08-21,ISLA,lag_2,La_Isla-Lote_ML_4,ISLA_2
7798,2019-08-21,ISLA,lag_3,,ISLA_3
14,2019-08-22,ISLA,name,La_Isla-Lote_6,ISLA
2609,2019-08-22,ISLA,lag_1,La_Isla-Lote_5,ISLA_1
5204,2019-08-22,ISLA,lag_2,La_Isla-Lote_18,ISLA_2
7799,2019-08-22,ISLA,lag_3,La_Isla-Lote_ML_4,ISLA_3
15,2019-08-23,ISLA,name,La_Isla-Lote_6,ISLA
2610,2019-08-23,ISLA,lag_1,La_Isla-Lote_5,ISLA_1
5205,2019-08-23,ISLA,lag_2,La_Isla-Lote_18,ISLA_2
7800,2019-08-23,ISLA,lag_3,La_Isla-Lote_ML_4,ISLA_3
16,2019-08-24,ISLA,name,La_Isla-Lote_ML_3,ISLA
2611,2019-08-24,ISLA,lag_1,La_Isla-Lote_6,ISLA_1
5206,2019-08-24,ISLA,lag_2,La_Isla-Lote_5,ISLA_2
7801,2019-08-24,ISLA,lag_3,La_Isla-Lote_18,ISLA_3
17,2019-08-25,ISLA,name,La_Isla-Lote_ML_3,ISLA
2612,2019-08-25,ISLA,lag_1,La_Isla-Lote_6,ISLA_1
5207,2019-08-25,ISLA,lag_2,La_Isla-Lote_5,ISLA_2
7802,2019-08-25,ISLA,lag_3,La_Isla-Lote_18,ISLA_3
18,2019-08-26,ISLA,name,La_Isla-Lote_ML_3,ISLA
2613,2019-08-26,ISLA,lag_1,La_Isla-Lote_6,ISLA_1
5208,2019-08-26,ISLA,lag_2,La_Isla-Lote_5,ISLA_2
7803,2019-08-26,ISLA,lag_3,La_Isla-Lote_18,ISLA_3
19,2019-08-27,ISLA,name,La_Isla-Lote_ML_3,ISLA
2614,2019-08-27,ISLA,lag_1,La_Isla-Lote_6,ISLA_1
5209,2019-08-27,ISLA,lag_2,La_Isla-Lote_5,ISLA_2
7804,2019-08-27,ISLA,lag_3,La_Isla-Lote_18,ISLA_3
20,2019-08-28,ISLA,name,La_Isla-Lote_ML_3,ISLA
2615,2019-08-28,ISLA,lag_1,La_Isla-Lote_6,ISLA_1
5210,2019-08-28,ISLA,lag_2,La_Isla-Lote_5,ISLA_2
7805,2019-08-28,ISLA,lag_3,La_Isla-Lote_18,ISLA_3
21,2019-08-29,ISLA,name,La_Isla-Lote_ML_2,ISLA
