N,Días,Fecha,Día kg,CCS '000,Conc.,filename,Id,Lactancia
11.0,168.0,2020-06-13,11.0,,1.0,#1234_Registros_de_Leche_Lact6.TXT,1234,Lact6
36.0,566.0,2020-06-13,12.9,,3.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
12.0,187.0,2020-06-13,29.8,,10.0,#1145_Registros_de_Leche_Lact6.TXT,1145,Lact6
11.0,173.0,2020-05-30,28.3,,9.0,#1145_Registros_de_Leche_Lact6.TXT,1145,Lact6
10.0,154.0,2020-05-30,13.0,,3.0,#1234_Registros_de_Leche_Lact6.TXT,1234,Lact6
35.0,552.0,2020-05-30,15.3,,5.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
34.0,523.0,2020-05-30,16.6,,0.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
10.0,162.0,2020-05-19,25.3,,9.0,#1145_Registros_de_Leche_Lact6.TXT,1145,Lact6
33.0,512.0,2020-05-19,16.9,,5.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
9.0,143.0,2020-05-19,14.3,,3.0,#1234_Registros_de_Leche_Lact6.TXT,1234,Lact6
34.0,541.0,2020-05-19,14.7,,3.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
9.0,143.0,2020-04-30,26.7,,9.0,#1145_Registros_de_Leche_Lact6.TXT,1145,Lact6
32.0,493.0,2020-04-30,19.4,,0.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
33.0,522.0,2020-04-30,17.4,,5.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
8.0,124.0,2020-04-30,17.1,,5.0,#1234_Registros_de_Leche_Lact6.TXT,1234,Lact6
32.0,512.0,2020-04-20,17.6,,5.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
7.0,114.0,2020-04-20,12.5,,5.0,#1234_Registros_de_Leche_Lact6.TXT,1234,Lact6
31.0,483.0,2020-04-20,19.5,,0.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
8.0,133.0,2020-04-20,26.9,,9.0,#1145_Registros_de_Leche_Lact6.TXT,1145,Lact6
22.0,352.0,2020-03-28,1.9,,0.0,#1032_Registros_de_Leche_Lact6.TXT,1032,Lact6
7.0,110.0,2020-03-28,27.0,,9.0,#1145_Registros_de_Leche_Lact6.TXT,1145,Lact6
6.0,91.0,2020-03-28,19.9,,9.0,#1234_Registros_de_Leche_Lact6.TXT,1234,Lact6
20.0,314.0,2020-03-28,9.4,,0.0,#1014_Registros_de_Leche_Lact7.TXT,1014,Lact7
30.0,460.0,2020-03-28,21.2,,7.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
31.0,489.0,2020-03-28,14.8,,3.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
6.0,95.0,2020-03-13,28.8,,9.0,#1145_Registros_de_Leche_Lact6.TXT,1145,Lact6
30.0,474.0,2020-03-13,16.2,,5.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
29.0,445.0,2020-03-13,20.7,,5.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
21.0,337.0,2020-03-13,3.3,,0.0,#1032_Registros_de_Leche_Lact6.TXT,1032,Lact6
19.0,299.0,2020-03-13,8.9,,0.0,#1014_Registros_de_Leche_Lact7.TXT,1014,Lact7
5.0,76.0,2020-03-13,26.8,,9.0,#1234_Registros_de_Leche_Lact6.TXT,1234,Lact6
28.0,431.0,2020-02-28,21.1,,7.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
29.0,460.0,2020-02-28,19.1,,5.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
18.0,285.0,2020-02-28,10.6,,0.0,#1014_Registros_de_Leche_Lact7.TXT,1014,Lact7
4.0,62.0,2020-02-28,24.9,,9.0,#1234_Registros_de_Leche_Lact6.TXT,1234,Lact6
5.0,81.0,2020-02-28,30.2,,10.0,#1145_Registros_de_Leche_Lact6.TXT,1145,Lact6
20.0,323.0,2020-02-28,3.2,,0.0,#1032_Registros_de_Leche_Lact6.TXT,1032,Lact6
28.0,445.0,2020-02-13,19.1,,5.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
3.0,47.0,2020-02-13,24.4,,9.0,#1234_Registros_de_Leche_Lact6.TXT,1234,Lact6
4.0,66.0,2020-02-13,29.6,,10.0,#1145_Registros_de_Leche_Lact6.TXT,1145,Lact6
27.0,416.0,2020-02-13,26.2,,9.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
19.0,308.0,2020-02-13,4.9,,0.0,#1032_Registros_de_Leche_Lact6.TXT,1032,Lact6
17.0,270.0,2020-02-13,12.9,,1.0,#1014_Registros_de_Leche_Lact7.TXT,1014,Lact7
26.0,403.0,2020-01-31,18.7,,7.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
2.0,34.0,2020-01-31,30.9,,9.0,#1234_Registros_de_Leche_Lact6.TXT,1234,Lact6
16.0,257.0,2020-01-31,13.9,,5.0,#1014_Registros_de_Leche_Lact7.TXT,1014,Lact7
27.0,432.0,2020-01-31,17.4,,5.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
3.0,53.0,2020-01-31,29.8,,9.0,#1145_Registros_de_Leche_Lact6.TXT,1145,Lact6
18.0,295.0,2020-01-31,8.0,,0.0,#1032_Registros_de_Leche_Lact6.TXT,1032,Lact6
15.0,241.0,2020-01-15,16.7,,5.0,#1014_Registros_de_Leche_Lact7.TXT,1014,Lact7
26.0,416.0,2020-01-15,18.9,,5.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
1.0,18.0,2020-01-15,28.4,,9.0,#1234_Registros_de_Leche_Lact6.TXT,1234,Lact6
2.0,37.0,2020-01-15,29.3,,9.0,#1145_Registros_de_Leche_Lact6.TXT,1145,Lact6
17.0,279.0,2020-01-15,9.1,,0.0,#1032_Registros_de_Leche_Lact6.TXT,1032,Lact6
25.0,387.0,2020-01-15,23.4,,7.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
16.0,246.0,2019-12-13,12.8,,3.0,#1032_Registros_de_Leche_Lact6.TXT,1032,Lact6
25.0,383.0,2019-12-13,22.8,,7.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
1.0,4.0,2019-12-13,5.9,,5.0,#1145_Registros_de_Leche_Lact6.TXT,1145,Lact6
14.0,208.0,2019-12-13,13.3,,3.0,#1014_Registros_de_Leche_Lact7.TXT,1014,Lact7
24.0,354.0,2019-12-13,24.6,,7.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
13.0,194.0,2019-11-29,15.9,,3.0,#1014_Registros_de_Leche_Lact7.TXT,1014,Lact7
15.0,232.0,2019-11-29,12.7,,1.0,#1032_Registros_de_Leche_Lact6.TXT,1032,Lact6
23.0,340.0,2019-11-29,25.5,,7.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
24.0,369.0,2019-11-29,19.9,,5.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
22.0,324.0,2019-11-13,29.2,,9.0,#2009_Registros_de_Leche_Lact3.TXT,2009,Lact3
14.0,216.0,2019-11-13,15.2,,3.0,#1032_Registros_de_Leche_Lact6.TXT,1032,Lact6
12.0,178.0,2019-11-13,12.8,,1.0,#1014_Registros_de_Leche_Lact7.TXT,1014,Lact7
23.0,353.0,2019-11-13,23.9,,5.0,#1152_Registros_de_Leche_Lact6.TXT,1152,Lact6
