N,Parto,1er. servicio,NS,Ult. servicio,Concepción,Int.,Costo,Secado,Lact.,305-d.,Leche acum.,Leche/ día,Conc. acum.,Conc/ leche,No. hijos,No. Mast,No. Abort.,Id
0,,2020-02-12,4.0,2020-05-19,2020-05-19,898,$140'600,,,,,,,,,0,0,01
0,,2016-02-19,1.0,2016-02-19,2016-02-19,885,$25'000,,,,,,0,,,0,0,2009
0,,2012-08-25,2.0,2012-09-16,2012-09-16,1'004,,,,,,,0,0.0,,0,0,1234
0,,2012-07-30,2.0,2012-09-14,2012-09-14,1'097,,,,,,,0,,,0,0,1152
0,,2012-01-18,3.0,2012-05-17,2012-05-17,1'000,,,,,,,0,0.0,,0,0,1145
0,,,,,2012-01-17,970.0,,,,,,,0,0.0,,0,0,1032
0,,2019-08-30,2.0,2019-09-27,2019-09-27,856,$86'156,,,,,,,,,0,0,2696
0,,,,,2011-10-10,915,,,,,,,0,,,0,0,1014
0,,2020-02-14,1.0,2020-02-14,2020-02-14,800,$20'600,,,,,,,,,0,0,03
0,,2020-02-16,1.0,2020-02-16,2020-02-16,798,$32'912,,,,,,,,,0,0,04
1,2016-11-28,2017-01-22,3.0,2017-03-09,2017-03-09,387,$30'000,2017-10-31,7992,7369,7992,24.1,2155,0.27,1.0,0,0,2009
1,2012-10-25,2012-12-29,2.0,2013-10-28,2013-10-25,647.0,,2014-02-27,7268,4632,7268,14.8,2940,0.4,1.0,0,1,1032
1,2013-03-04,2013-04-07,5.0,2013-12-06,2013-12-20,573,,2014-07-31,12146,7836,12146,24.0,4582,0.38,1.0,0,0,1145
1,2012-07-18,2012-08-24,2.0,2012-09-24,2012-09-24,345,,2013-05-01,4549,4549,4549,15.9,1778,0.39,1.0,0,0,1014
1,2013-06-18,2013-07-31,2.0,2013-08-21,2013-08-18,343,$25'200,2014-03-31,6836,6836,6836,23.9,0,0.0,1.0,0,0,1152
1,2013-06-23,2013-08-15,2.0,2013-09-25,2013-09-23,374,,2014-05-02,6299,6206,6299,20.1,0,0.0,1.0,0,0,1234
2,2014-05-27,2014-07-19,2.0,2014-09-19,2014-09-15,393,$176'400,2015-05-01,8502,8005,8502,25.2,2525,0.3,1.0,0,0,1152
2,2014-09-28,2014-12-17,2.0,2015-02-20,2015-02-23,430,$126'000,2015-09-30,11388,10191,11388,31.1,3360,0.3,1.0,0,0,1145
2,2014-07-02,2014-08-26,10.0,2015-07-03,2015-07-03,637,$151'200,2016-01-13,10533,7079,10533,19.3,2480,0.24,1.0,0,0,1234
2,2014-08-03,2014-09-08,5.0,2015-02-12,2015-02-21,484.0,$156'000,2015-08-31,10921,9459,10921,28.1,3142,0.29,1.0,0,0,1032
2,2013-06-28,2013-09-08,1.0,2013-09-08,2013-09-09,355,$25'200,2014-04-16,5531,5531,5531,19.3,2920,0.53,1.0,0,0,1014
2,2017-12-20,2018-03-14,1.0,2018-03-14,2018-03-14,369,,2018-10-31,7499,7349,7499,23.8,1864,0.25,1.0,0,0,2009
3,2015-06-24,2015-08-31,1.0,2015-08-31,2015-08-31,352,,2016-04-15,8648,8648,8648,29.4,2098,0.24,1.0,0,0,1152
3,2016-03-30,2016-05-22,2.0,2016-07-11,2016-07-11,338,,2017-02-13,7492,7349,7492,23.6,2159,0.29,1.0,1,0,1234
3,2014-06-18,2014-08-22,3.0,2014-11-16,2014-11-22,439,$126'000,2015-06-30,8843,7742,8843,23.7,2367,0.27,1.0,0,0,1014
3,2015-12-02,2016-01-21,3.0,2016-04-11,2016-04-11,413,,2016-11-29,10620,9513,10620,29.7,2673,0.25,1.0,0,0,1145
3,2018-12-24,2019-03-16,7.0,2019-10-20,2019-10-20,582,$30'000,2020-05-30,13541,8616,13541,25.9,4069,0.3,1.0,0,3,2009
3,2015-11-30,2016-02-22,1.0,2016-02-22,2016-02-22,362.0,,2016-09-30,7764,7753,7764,25.5,1825,0.24,1.0,0,0,1032
