Hato,Lote,Grupo,Ubicación,ID,Referencia,Color,Raza,Sexo/ tipo,Padre,Madre gen.,Madre ,Edad,Estado,Nacimiento,Peso nacim.,Destete,Peso destete,kg/d destete,Fecha ultimo peso,Ultimo peso,kg/d dest/últ,kg/d nac./últ.,Entrada,Origen,Peso entrada,Valor entrada,Salida,Destino,Peso salida,Valor salida,kg ganados,$ ganados,kg/d,$/d,Int. entre partos,No. crías,kg.prom. nacim.,kg dest. (vida),Valor prom. destete,kg/d al destete /IEP,$/d  al destete,Leche lact. (vida),Leche 305d (vida),Leche vida vs.hato,Prot. vida vs.hato,Grasa vida vs.hato,Leche /día/IEP,Prot /día,Grasa /día,Costo /día,P,Ult. parto,1er. celo,Ult. celo,Toro programado,1er ser,# ser,Ult. servicio,Toro últ.serv.,Dias serv,Ult. diag. preñez,Ult. resultado,Preñada del toro,Concepción,Días preñez,No. crías.1,Destete.1,kg dest.,$ dest.,Secado,Leche lactan.,Leche 305d,Prot. lac. kg,Prot. 305d  kg,Grasa lact. kg,Grasa 305d kg,Lt  Lact. vs.hato,Prot. lac vs hato,Grasa lac. vs hato,Costo eventos,Prot.% prom,Grasa% prom,Lac.% prom,CSS'000 prom,Fecha últ. leche,Ult. leche,%últ. prot.,%últ. grasa,%últ. lacto.,Ult. CCS '000,Próximo parto ,Nombre,Numero,Registro,Id. Electrónica,Nombre largo,Retiro leche hasta,Retiro carne hasta,Cría (este parto),AM,PM,TOTAL,Fecha inicio lactoinducción,Comentarios,Mes últ. parto,Mes prox. parto,Estado fertilidad,Estado lactancia,Toro últ. parto,Edad 1er. parto,Peso 1er. parto,Inicio servicio,Ult. TE,Donadora,Ult. aborto,No. abo (vida),Tercio lactancia,Días al pico,Prod. al pico,Leche acumulada,Leche/día acum.,Leche/ día vida,Conc./ día ,Conc. acumulado,Conc./leche actual,Conc./leche acumulado,Días secos (actual),Prom. días secos,Kg/día ,kg/día desde entrada,Ult. cond. corporal,Cond. corp.,Abuelo materno,Leche lact. madre,Leche 305d madre,Leche vrs. hato ,kg/dia al destete ,kg/día dest (vida),Reg. leche,Life high SCC,Curr. high SCC,Mast. vida,Mast. act.,Cojera vida,Cojera act.,Prom part -conc.,Vida serv-concep.,Prog. Novillas,Prog. vacas,Prog. machos,Leche vida vs.hato/prom,Leche vida vs.hato_C,Lt Lact. vs.hato/prom,Lt Lact. vs.hato_C,Leche vrs. hato/prom,Leche vrs. hato_C,Hoy,Edad_actual,Leche_prom_mes,Leche_prom_mes_c,DIM,DIM_c,Tercio lactancia (groups),Mast_vida,Mast_activa,Cojera_vida,Cojera_activa,No_crias,Int_entre_partos,label,value
ISLA,,NI,,01                  ,,,HO,He:Rp,6,2190,2190,1a9m,PR,2018-09-11,35.0,2018-09-12,35.5,0.507,2020-01-17,361.0,0.662,0.6609999999999999,,,,,,,437.0,,437.0,,0.8390000000000001,,0,0,,,,,,,,,,,,,,,0.0,,2020-02-12,2020-05-19,,2020-02-12,4.0,2020-05-19,110.0,46.0,2020-06-17,Positivo,110.0,2020-05-19,46.0,,,,,,,,,,,,,,,$140.600,,,,,,,,,,,2021-02-25,01,01,,900113001750165.0,,,,,,,,,,,2021/02 (febrero),,,,,,2019-10-25,,,,,,,,,,,,,,,,,0.662,0.732,,,88,4835.0,4523.0,81.0,,,,,,0,0,0,0,,,,,,0,+0% /Prom,0,+0% /Prom,-19,-19% /Prom,2020-10-20,25,0.0,0.0 Lt. Mes,0,0 DIM,Sin Terc. Lactancia,0 Mastitis,No Activa,0 Cojeras,No Activa,0 Crías,0 Días,NI,NI
ISLA,,NI,,03                  ,,,HO,He:Rp,80,1234,1234,1a9m,PR,2018-09-14,35.0,2018-09-15,35.3,0.281,2020-01-17,352.0,0.648,0.647,,,,,,,400.0,,400.0,,0.7090000000000001,,0,0,,,,,,,,,,,,,,,0.0,,2020-02-14,2020-02-14,,2020-02-14,1.0,2020-02-14,109.0,141.0,2020-04-22,Cargada Ma,109.0,2020-02-14,141.0,,,,,,,,,,,,,,,$20.600,,,,,,,,,,,2020-11-22,03,03,,900113001750102.0,,,,,,,,,,,2020/11 (noviembre),,,,,,2019-10-28,,,,,,,,,,,,,,,,,0.451,0.718,,,57,7260.0,6405.0,110.0,,,,,,0,0,0,0,,,,,,0,+0% /Prom,0,+0% /Prom,10,+10% /Prom,2020-10-20,25,0.0,0.0 Lt. Mes,0,0 DIM,Sin Terc. Lactancia,0 Mastitis,No Activa,0 Cojeras,No Activa,0 Crías,0 Días,NI,NI
RC,,HOR.1,,04                  ,,,HO(75%) x GY(25%),He:Rp,6,2391,2391,1a9m,PR,2018-09-18,35.0,2018-09-19,35.4,0.45,2020-01-17,344.0,0.636,0.636,,,,,,,392.0,,392.0,,0.7,,0,0,,,,,,,,,,,,,,,0.0,,2020-01-29,2020-02-16,,2020-02-16,1.0,2020-02-16,109.0,139.0,2020-04-22,Cargada He,109.0,2020-02-16,139.0,,,,,,,,,,,,,,,$32.912,,,,,,,,,,,2020-11-24,04,04,,900113001750151.0,,,,,,,,,,,2020/11 (noviembre),,,,,,2019-11-01,,,,,,,,,,,,,,,,,0.7609999999999999,0.708,,,1,6610.0,5852.0,106.0,,,,,,0,0,0,0,,,,,,0,+0% /Prom,0,+0% /Prom,6,+6% /Prom,2020-10-20,25,0.0,0.0 Lt. Mes,0,0 DIM,Sin Terc. Lactancia,0 Mastitis,No Activa,0 Cojeras,No Activa,0 Crías,0 Días,HOR.1,HOR.1
RC,,R 3,,04B                 ,,,HO,He:Rp,98,,1489,5a1m,PR/Lac,2015-05-30,35.0,2015-05-31,35.6,0.644,2016-07-21,360.0,0.778,0.778,,,,,,,500.0,,500.0,,,,408,3,35.0,35.4,$8.497,0.087,$21,6178.0,5717.0,102.0,100%,100%,15.1,,,$74,3.0,2019-09-23,2019-10-06,2020-01-25,,2019-11-18,3.0,2020-01-25,108.0,161.0,2020-04-08,Cargada Ma,108.0,2020-01-25,161.0,1.0,2019-09-24,35.5,$8.497,2020-09-03,6410.0,6230.0,,,,,108.0,100%,100%,,,,,,2020-06-13,4.9,,,,,2020-11-02,04B,04B,,900113000048254.0,,,,G2786(He:Rp),,,,,,2019/09 (septiembre),2020/11 (noviembre),PR,Lac,1.0,2a0m,500.0,2020-09-11,,,,1.0,3 >200,114.0,34.8,6047.0,22.9,19.6,5.0,1871.0,1.02,0.309,,78.0,,,,,,,,,,,61.0,0.0,0.0,1,0,0,0,123.0,2.3,2766,,,2,+2% /Prom,8,+8% /Prom,0,+0% /Prom,2020-10-20,64,94.48,94.48 Lt. Mes,393,393 DIM,3er Terc. Lactancia,1 Mastitis,No Activa,0 Cojeras,No Activa,3 Crías,408 Días,R 3,R 3
ISLA,,NI,,05                  ,,,HO,He:Rp,6,2368,2368,1a9m,PR,2018-09-18,35.0,2018-09-19,35.5,0.5,2020-01-17,364.0,0.677,0.677,,,,,,,412.0,,412.0,,0.912,,0,0,,,,,,,,,,,,,,,0.0,,2020-02-14,2020-02-14,,2020-02-14,1.0,2020-02-14,109.0,141.0,2020-04-22,Cargada,109.0,2020-02-14,141.0,,,,,,,,,,,,,,,$32.912,,,,,,,,,,,2020-11-22,05,05,,900113001750130.0,,,,,,,,,,,2020/11 (noviembre),,,,,,2019-11-01,,,,,,,,,,,,,,,,,0.789,0.7490000000000001,,,94,8578.0,6749.0,124.0,,,,,,0,0,0,0,,,,,,0,+0% /Prom,0,+0% /Prom,24,+24% /Prom,2020-10-20,25,0.0,0.0 Lt. Mes,0,0 DIM,Sin Terc. Lactancia,0 Mastitis,No Activa,0 Cojeras,No Activa,0 Crías,0 Días,NI,NI
ISLA,,NI,,06                  ,,,HO,He:Rp,6,2337,2337,1a9m,PR,2018-09-21,35.0,2018-09-22,35.6,0.596,2020-01-17,342.0,0.636,0.636,,,,,,,404.0,,404.0,,0.667,,0,0,,,,,,,,,,,,,,,0.0,,2020-02-14,2020-03-25,,2020-02-14,2.0,2020-03-25,,101.0,2020-05-20,Cargada He,,2020-03-25,101.0,,,,,,,,,,,,,,,$26.756,,,,,,,,,,,2021-01-01,06,06,,900113001750146.0,,,,,,,,,,,2021/01 (enero),,,,,,2019-11-04,,,,,,,,,,,,,,,,,0.732,0.708,,,85,4750.0,4701.0,89.0,,,,,,0,0,0,0,,,,,,0,+0% /Prom,0,+0% /Prom,-11,-11% /Prom,2020-10-20,24,0.0,0.0 Lt. Mes,0,0 DIM,Sin Terc. Lactancia,0 Mastitis,No Activa,0 Cojeras,No Activa,0 Crías,0 Días,NI,NI
ISLA,,NI,,07                  ,,,HO,He:Rp,7,1591,1591,1a9m,Palp-,2018-09-21,35.0,2018-09-22,35.4,0.439,2020-04-01,374.0,0.608,0.608,,,,,,,412.5,,412.5,,0.807,,0,0,,,,,,,,,,,,,,,0.0,,2020-05-12,2020-05-12,,2020-05-12,1.0,2020-05-12,80.0,53.0,2020-06-17,Negativo,,,,,,,,,,,,,,,,,,$600,,,,,,,,,,,,07,07,,900113001750162.0,,,,,,,,,,,,,,,,,2019-11-04,,,,,,,,,,,,,,,,,0.64,0.67,,,66,6082.0,5959.0,106.0,,,,,,0,0,0,0,,,,,,0,+0% /Prom,0,+0% /Prom,6,+6% /Prom,2020-10-20,24,0.0,0.0 Lt. Mes,0,0 DIM,Sin Terc. Lactancia,0 Mastitis,No Activa,0 Cojeras,No Activa,0 Crías,0 Días,NI,NI
ISLA,,NI,,08                  ,,,HO,He:Rp,6,2355,2355,1a9m,Palp-,2018-09-23,35.0,2018-09-24,35.4,0.4,2020-04-01,380.0,0.621,0.621,,,,,,,418.5,,418.5,,0.8220000000000001,,0,0,,,,,,,,,,,,,,,0.0,,2020-04-11,2020-05-23,,2020-04-11,2.0,2020-05-23,110.0,42.0,2020-06-17,Negativo,,,,,,,,,,,,,,,,,,$46.756,,,,,,,,,,,,08,08,,900113001750106.0,,,,,,,,,,,,,,,,,2019-11-06,,,,,,,,,,,,,,,,,0.64,0.6829999999999999,,,,6834.0,6277.0,116.0,,,,,,0,0,0,0,,,,,,0,+0% /Prom,0,+0% /Prom,16,+16% /Prom,2020-10-20,24,0.0,0.0 Lt. Mes,0,0 DIM,Sin Terc. Lactancia,0 Mastitis,No Activa,0 Cojeras,No Activa,0 Crías,0 Días,NI,NI
ISLA,,NI,,09                  ,,,HO,He:Rp,6,1980,1980,1a9m,PR,2018-09-24,35.0,2018-09-25,35.4,0.426,2020-01-17,357.0,0.6709999999999999,0.6709999999999999,,,,,,,405.0,,405.0,,0.731,,0,0,,,,,,,,,,,,,,,0.0,,2020-02-12,2020-02-12,,2020-02-12,1.0,2020-02-12,107.0,143.0,2020-04-22,Cargada He,107.0,2020-02-12,143.0,,,,,,,,,,,,,,,$6.756,,,,,,,,,,,2020-11-20,09,09,,900113001750144.0,,,,,,,,,,,2020/11 (noviembre),,,,,,2019-11-07,,,,,,,,,,,,,,,,,0.732,0.7440000000000001,,,COLDSPRING,3428.0,3428.0,66.0,,,,,,0,0,0,0,,,,,,0,+0% /Prom,0,+0% /Prom,-34,-34% /Prom,2020-10-20,24,0.0,0.0 Lt. Mes,0,0 DIM,Sin Terc. Lactancia,0 Mastitis,No Activa,0 Cojeras,No Activa,0 Crías,0 Días,NI,NI
ISLA,,NI,,10                  ,,,HO,He:Rp,6,2377,2377,1a9m,Ser,2018-09-24,35.0,2018-09-25,35.5,0.519,2020-05-06,371.0,0.57,0.569,,,,,,,390.0,,390.0,,0.628,,0,0,,,,,,,,,,,,,,,0.0,,2020-05-08,2020-06-06,,2020-05-08,3.0,2020-06-06,5.0,28.0,,,,,,,,,,,,,,,,,,,,$90.600,,,,,,,,,,,,10,10,,900113001750120.0,,,,,,,,,,,,,,,,,2019-11-07,,,,,,,,,,,,,,,,,0.8859999999999999,0.629,,,89,5975.0,5519.0,98.0,,,,,,0,0,0,0,,,,,,0,+0% /Prom,0,+0% /Prom,-2,-2% /Prom,2020-10-20,24,0.0,0.0 Lt. Mes,0,0 DIM,Sin Terc. Lactancia,0 Mastitis,No Activa,0 Cojeras,No Activa,0 Crías,0 Días,NI,NI
