AÑO,MES,FINCA,POTRERO,AREA M2,ACTIVIDAD,FECHA ACTIVIDAD,PRODUCTO,HATO,TIPO DE FORRAJE,FECHA ENTRADA,FECHA SALIDA,,DIAS ANTIGUEDAD PASTOS,AFORO,FORRAJE FRECIDO,DIAS ESTADIA,NUMERO ANIMALES,LECHE TOTAL,LECHE POR DIA,LECHE POR VACA,FECHA PROYECTADA FUMIGACION,ANO FUMIGACION,MES FUMIGACION,,,,Contador,9058,,,ACTIVIDAD,2,,SIEMBRA,2,FUMIGADA,4,ABONADA,73,RENOVADA,291,CORTE,623,HENOLAJE,644,DESBROSADA,694,ROTOBO,1694,RIEGO,2174,ENMIENDA,2339,ENCALADO,2484,PASTOREO,831
2016,10,JUNCAL,3,,SIEMBRA,05/10/2016,SABANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,10,JUNCAL,5,,SIEMBRA,10/10/2016,SABANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,11,LA ISLA,17,9896,FUMIGADA,12/11/2016,12/11 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,11,LA ISLA,21,5037,FUMIGADA,14/11/2016,14/11 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,11,JUNCAL,17,10'827,FUMIGADA,16/11/2016,16/11 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,11,LA ISLA,15,7'587,FUMIGADA,16/11/2016,16/11 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,11,LA ISLA,27,7'359,FUMIGADA,16/11/2016,16/11 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,11,JUNCAL,18,12'264,FUMIGADA,21/11/2016,21/11 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,11,LA ISLA,26,5'015,FUMIGADA,21/11/2016,21/11CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,11,LA ISLA,28,16'304,FUMIGADA,21/11/2016,21/11CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,11,LA ISLA,29,14'810,FUMIGADA,21/11/2016,21/11CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,11,JUNCAL,19,16'499,FUMIGADA,28/11/2016,28/11 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,11,JUNCAL,20,17'387,FUMIGADA,29/11/2016,29/11 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,11,JUNCAL,21,15'900,FUMIGADA,29/11/2016,29/11 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,JUNCAL,1,15'501,FUMIGADA,05/12/2016,5/12 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,JUNCAL,2,17'504,FUMIGADA,05/12/2016,5/12 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,MANGA LARGA,7,5'983,FUMIGADA,05/12/2016,5/12 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,JUNCAL,3,15'720,FUMIGADA,07/12/2016,7/12 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,PARAISO,1,12'671,FUMIGADA,07/12/2016,7/12 CASTA INICIO BORO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,LA ISLA,19,5'951,FUMIGADA,12/12/2016,12/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,LA ISLA,20,5'703,FUMIGADA,12/12/2016,12/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,LA ISLA,22,5'001,FUMIGADA,12/12/2016,12/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,LA ISLA,25,7'917,FUMIGADA,12/12/2016,12/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,LA ISLA,33,8'074,FUMIGADA,12/12/2016,12/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,PARAISO,3,14'421,FUMIGADA,12/12/2016,13/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,JUNCAL,4,13'510,FUMIGADA,13/12/2016,13/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,JUNCAL,5,12'257,FUMIGADA,13/12/2016,13/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,LA ISLA,4,5'235,FUMIGADA,13/12/2016,13/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,PARAISO,2,13'855,FUMIGADA,13/12/2016,13/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,PARAISO,4,16'291,FUMIGADA,13/12/2016,13/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,PARAISO,5,22'616,FUMIGADA,13/12/2016,13/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,LA ISLA,7,16'013,FUMIGADA,14/12/2016,14/12 casta agrofast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,LA ISLA,14,6'900,FUMIGADA,14/12/2016,14/12 casta agrofast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,JUNCAL,6,12'173,FUMIGADA,19/12/2016,19/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,JUNCAL,7,13'347,FUMIGADA,19/12/2016,19/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,LA ISLA,31,5'354,FUMIGADA,22/12/2016,22/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,LA ISLA,34,8'302,FUMIGADA,22/12/2016,22/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,PARAISO,6,21'707,FUMIGADA,22/12/2016,22/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,PARAISO,7,22'048,FUMIGADA,24/12/2016,24/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,12,JUNCAL,8,11'526,FUMIGADA,27/12/2016,27/12 CASTA AGROFAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
