Unnamed: 0_x,date,HATO,variable,value,HATO_C,Unnamed: 0_y,poly,name,TIPO DE FORRAJE,AFORO,NUMERO ANIMALES,LECHE TOTAL,LECHE VACA,lote_change,ultimo_pastoreo,dias_de_pastoreo,dias_sin_pastoreo,ultimo_animales,ultima_fumigada,ultima_siembra,ultima_renovada,ultima_desbrosada,ultima_abonada,ultima_enmienda,ultima_rotobo,dias_sin_fumigada,dias_sin_siembra,dias_sin_renovada,dias_sin_desbrosada,dias_sin_abonada,dias_sin_enmienda,dias_sin_rotobo
250,2019-01-01,JUNCAL,name,Juncalito-Lote_20,JUNCAL,250.0,100.0,Juncalito-Lote_20,RAYGRAS,1.9,133.0,2577.0,19.37593984962406,True,2019-01-01 00:00:00,1.0,,133.0,,,,,,,,,,,,,,
2845,2019-01-01,JUNCAL,lag_1,,JUNCAL_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5440,2019-01-01,JUNCAL,lag_2,,JUNCAL_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
8035,2019-01-01,JUNCAL,lag_3,,JUNCAL_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,2019-01-01,PARAISO,name,Paraiso-Lote_10,PARAISO,719.0,111.0,Paraiso-Lote_10,RAYGRAS,2.3,124.0,2054.0,16.56451612903226,True,2019-01-01 00:00:00,1.0,,124.0,,,,,,,,,,,,,,
3314,2019-01-01,PARAISO,lag_1,,PARAISO_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5909,2019-01-01,PARAISO,lag_2,,PARAISO_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
8504,2019-01-01,PARAISO,lag_3,,PARAISO_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,2019-01-01,RECODO 1,name,RC43,RECODO 1,1188.0,42.0,RC43,KYKUYO,1.9,119.0,2432.0,20.436974789915965,True,2019-01-01 00:00:00,1.0,,119.0,,,,,,,,,,,,,,
3783,2019-01-01,RECODO 1,lag_1,,RECODO 1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6378,2019-01-01,RECODO 1,lag_2,,RECODO 1_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
8973,2019-01-01,RECODO 1,lag_3,,RECODO 1_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1657,2019-01-01,RECODO 2,name,RC34,RECODO 2,1657.0,33.0,RC34,KYKUYO,1.8,136.0,2526.0,18.573529411764707,True,2019-01-01 00:00:00,1.0,,136.0,,,,,,,,,,,,,,
4252,2019-01-01,RECODO 2,lag_1,,RECODO 2_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6847,2019-01-01,RECODO 2,lag_2,,RECODO 2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
9442,2019-01-01,RECODO 2,lag_3,,RECODO 2_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2126,2019-01-01,RECODO 3,name,RC09,RECODO 3,2126.0,8.0,RC09,KYKUYO,1.6,145.0,2780.0,19.17241379310345,True,2019-01-01 00:00:00,1.0,,145.0,,,,,,,,,,,,,,
4721,2019-01-01,RECODO 3,lag_1,,RECODO 3_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
7316,2019-01-01,RECODO 3,lag_2,,RECODO 3_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
9911,2019-01-01,RECODO 3,lag_3,,RECODO 3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,2019-01-02,JUNCAL,name,Juncalito-Lote_20,JUNCAL,251.0,100.0,Juncalito-Lote_20,RAYGRAS,1.9,133.0,2593.0,19.49624060150376,False,2019-01-02 00:00:00,2.0,,133.0,,,,,,,,,,,,,,
2846,2019-01-02,JUNCAL,lag_1,,JUNCAL_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5441,2019-01-02,JUNCAL,lag_2,,JUNCAL_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
8036,2019-01-02,JUNCAL,lag_3,,JUNCAL_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,2019-01-02,PARAISO,name,Paraiso-Lote_10,PARAISO,720.0,111.0,Paraiso-Lote_10,RAYGRAS,2.3,124.0,2043.0,16.475806451612904,False,2019-01-02 00:00:00,2.0,,124.0,,,,,,,,,,,,,,
3315,2019-01-02,PARAISO,lag_1,,PARAISO_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5910,2019-01-02,PARAISO,lag_2,,PARAISO_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
8505,2019-01-02,PARAISO,lag_3,,PARAISO_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,2019-01-02,RECODO 1,name,RC43,RECODO 1,1189.0,42.0,RC43,KYKUYO,1.9,119.0,2472.0,20.77310924369748,False,2019-01-02 00:00:00,2.0,,119.0,,,,,,,,,,,,,,
3784,2019-01-02,RECODO 1,lag_1,,RECODO 1_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6379,2019-01-02,RECODO 1,lag_2,,RECODO 1_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
8974,2019-01-02,RECODO 1,lag_3,,RECODO 1_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,2019-01-02,RECODO 2,name,RC34,RECODO 2,1658.0,33.0,RC34,KYKUYO,1.8,136.0,2467.0,18.139705882352946,False,2019-01-02 00:00:00,2.0,,136.0,,,,,,,,,,,,,,
4253,2019-01-02,RECODO 2,lag_1,,RECODO 2_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
6848,2019-01-02,RECODO 2,lag_2,,RECODO 2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
9443,2019-01-02,RECODO 2,lag_3,,RECODO 2_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2127,2019-01-02,RECODO 3,name,RC09,RECODO 3,2127.0,8.0,RC09,KYKUYO,1.6,145.0,2820.0,19.448275862068964,False,2019-01-02 00:00:00,2.0,,145.0,,,,,,,,,,,,,,
4722,2019-01-02,RECODO 3,lag_1,,RECODO 3_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
7317,2019-01-02,RECODO 3,lag_2,,RECODO 3_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
9912,2019-01-02,RECODO 3,lag_3,,RECODO 3_3,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,2019-01-03,JUNCAL,name,Juncalito-Lote_21,JUNCAL,252.0,101.0,Juncalito-Lote_21,KYKUYO,1.7,134.0,2574.0,19.2089552238806,False,2019-01-03 00:00:00,1.0,,134.0,,,,,,,,,,,,,,
2847,2019-01-03,JUNCAL,lag_1,Juncalito-Lote_20,JUNCAL_1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5442,2019-01-03,JUNCAL,lag_2,,JUNCAL_2,,,,,,,,,,,,,,,,,,,,,,,,,,,
