name,close_1,close_2,close_3,close_4,close_5,close_6,close_7,close_8,close_9,area
RC01,RC02,T9,RC04,RC03,RC36,T8,RC72,RC35,T7,19625.673738283553
RC02,RC36,RC01,T9,RC72,RC03,RC35,RC04,RC37,T8,21077.315424016924
RC03,RC35,RC04,RC06,RC02,RC05,RC30,RC01,RC36,RC34,19585.234437897532
RC04,RC03,RC05,RC01,RC06,RC02,RC35,RC30,RC36,T9,19683.10827144468
RC05,RC06,RC08,RC04,RC07,RC03,RC30,RC35,RC29,RC09,17759.153032306636
RC06,RC05,RC30,RC07,RC03,RC08,RC04,RC35,RC29,RC31,17751.056309314994
RC07,RC08,RC29,RC06,RC10,RC30,RC05,RC09,RC24,RC28,17975.15826667624
RC08,RC07,RC05,RC09,RC06,RC10,RC29,RC30,RC24,RC12,17824.264202994847
RC09,RC10,RC12,RC08,RC11,RC07,RC24,RC23,RC29,RC05,18914.269159695727
RC10,RC09,RC24,RC11,RC07,RC12,RC29,RC23,RC08,RC25,18490.657235717325
RC11,RC12,RC23,RC10,RC14,RC09,RC24,RC13,RC18,RC22,17591.194006207203
RC12,RC11,RC09,RC13,RC10,RC14,RC23,RC24,RC18,RC16,17906.435403017153
RC13,RC14,RC16,RC12,RC15,RC11,RC18,RC23,RC17,RC09,18905.87816564985
RC14,RC13,RC18,RC15,RC11,RC16,RC17,RC23,RC12,RC22,17808.143274834598
RC15,RC16,RC17,RC14,RC13,RC18,RC19,RC11,RC20,RC23,18185.54670215108
RC16,RC15,RC13,RC14,RC17,RC18,RC12,RC11,RC19,RC23,17822.791199704476
RC17,RC19,RC15,RC18,RC14,RC20,RC16,RC13,RC46,RC23,20664.442739590766
RC18,RC14,RC20,RC23,RC17,RC22,RC19,RC15,RC11,RC21,22721.227336230528
RC19,RC17,RC20,RC46,RC18,RC15,RC14,RC45,RC22,RC21,16693.92161603259
RC20,RC19,RC18,RC46,RC21,RC22,RC45,RC17,RC23,RC14,22562.084105508515
RC21,RC22,RC45,RC26,RC20,RC44,RC25,RC23,RC46,RC18,16719.874920078997
RC22,RC21,RC23,RC25,RC20,RC18,RC24,RC26,RC11,RC45,16591.367186887783
RC23,RC22,RC11,RC18,RC24,RC10,RC14,RC25,RC21,RC20,18209.405425481287
RC24,RC10,RC25,RC29,RC23,RC28,RC22,RC11,RC07,RC09,20877.316121788957
