Unnamed: 0,poly,name,date,HATO,TIPO DE FORRAJE,AFORO,NUMERO ANIMALES,LECHE TOTAL,LECHE VACA,lote_change,ultimo_pastoreo,dias_de_pastoreo,dias_sin_pastoreo,ultimo_animales,ultima_fumigada,ultima_siembra,ultima_renovada,ultima_desbrosada,ultima_abonada,ultima_enmienda,ultima_rotobo,dias_sin_fumigada,dias_sin_siembra,dias_sin_renovada,dias_sin_desbrosada,dias_sin_abonada,dias_sin_enmienda,dias_sin_rotobo
250,100,Juncalito-Lote_20,2019-01-01,JUNCAL,RAYGRAS,1.9,133.0,2577.0,19.37593984962406,True,2019-01-01 00:00:00,1,,133.0,,,,,,,,,,,,,,
719,111,Paraiso-Lote_10,2019-01-01,PARAISO,RAYGRAS,2.3,124.0,2054.0,16.56451612903226,True,2019-01-01 00:00:00,1,,124.0,,,,,,,,,,,,,,
1188,42,RC43,2019-01-01,RECODO 1,KYKUYO,1.9,119.0,2432.0,20.436974789915965,True,2019-01-01 00:00:00,1,,119.0,,,,,,,,,,,,,,
1657,33,RC34,2019-01-01,RECODO 2,KYKUYO,1.8,136.0,2526.0,18.573529411764707,True,2019-01-01 00:00:00,1,,136.0,,,,,,,,,,,,,,
2126,8,RC09,2019-01-01,RECODO 3,KYKUYO,1.6,145.0,2780.0,19.17241379310345,True,2019-01-01 00:00:00,1,,145.0,,,,,,,,,,,,,,
251,100,Juncalito-Lote_20,2019-01-02,JUNCAL,RAYGRAS,1.9,133.0,2593.0,19.49624060150376,False,2019-01-02 00:00:00,2,,133.0,,,,,,,,,,,,,,
720,111,Paraiso-Lote_10,2019-01-02,PARAISO,RAYGRAS,2.3,124.0,2043.0,16.475806451612904,False,2019-01-02 00:00:00,2,,124.0,,,,,,,,,,,,,,
1189,42,RC43,2019-01-02,RECODO 1,KYKUYO,1.9,119.0,2472.0,20.77310924369748,False,2019-01-02 00:00:00,2,,119.0,,,,,,,,,,,,,,
1658,33,RC34,2019-01-02,RECODO 2,KYKUYO,1.8,136.0,2467.0,18.139705882352946,False,2019-01-02 00:00:00,2,,136.0,,,,,,,,,,,,,,
2127,8,RC09,2019-01-02,RECODO 3,KYKUYO,1.6,145.0,2820.0,19.448275862068964,False,2019-01-02 00:00:00,2,,145.0,,,,,,,,,,,,,,
252,101,Juncalito-Lote_21,2019-01-03,JUNCAL,KYKUYO,1.7,134.0,2574.0,19.2089552238806,False,2019-01-03 00:00:00,1,,134.0,,,,,,,,,,,,,,
721,112,Paraiso-Lote_11,2019-01-03,PARAISO,KYKUYO,1.4,125.0,2110.0,16.88,False,2019-01-03 00:00:00,1,,125.0,,,,,,,,,,,,,,
1190,43,RC44,2019-01-03,RECODO 1,KYKUYO,1.7,114.0,2335.0,20.482456140350877,False,2019-01-03 00:00:00,1,,114.0,,,,,,,,,,,,,,
1659,33,RC34,2019-01-03,RECODO 2,KYKUYO,1.8,136.0,2479.0,18.227941176470583,False,2019-01-03 00:00:00,3,,136.0,,,,,,,,,,,,,,
2128,11,RC12,2019-01-03,RECODO 3,KYKUYO,1.8,140.0,2758.0,19.7,False,2019-01-03 00:00:00,1,,140.0,,,,,,,,,,,,,,
253,101,Juncalito-Lote_21,2019-01-04,JUNCAL,KYKUYO,1.7,134.0,2559.0,19.09701492537313,False,2019-01-04 00:00:00,2,,134.0,,,,,,,,,,,,,,
722,112,Paraiso-Lote_11,2019-01-04,PARAISO,KYKUYO,1.4,125.0,1966.0,15.728,False,2019-01-04 00:00:00,2,,125.0,,,,,,,,,,,,,,
1191,43,RC44,2019-01-04,RECODO 1,KYKUYO,1.7,114.0,2370.0,20.789473684210527,False,2019-01-04 00:00:00,2,,114.0,,,,,,,,,,,,,,
1660,32,RC33,2019-01-04,RECODO 2,KYKUYO,0.9,136.0,2452.0,18.029411764705888,False,2019-01-04 00:00:00,1,,136.0,,,,,,,,,,,,,,
2129,11,RC12,2019-01-04,RECODO 3,KYKUYO,1.8,140.0,2735.0,19.535714285714285,False,2019-01-04 00:00:00,2,,140.0,,,,,,,,,,,,,,
254,101,Juncalito-Lote_21,2019-01-05,JUNCAL,KYKUYO,1.7,134.0,2532.0,18.895522388059703,False,2019-01-05 00:00:00,3,,134.0,,,,,,,,,,,,,,
723,112,Paraiso-Lote_11,2019-01-05,PARAISO,KYKUYO,1.4,126.0,2062.0,16.365079365079364,False,2019-01-05 00:00:00,3,,126.0,,,,,,,,,,,,,,
1192,43,RC44,2019-01-05,RECODO 1,KYKUYO,1.7,115.0,2561.0,22.269565217391303,False,2019-01-05 00:00:00,3,,115.0,,,,,,,,,,,,,,
1661,32,RC33,2019-01-05,RECODO 2,KYKUYO,0.9,136.0,2466.0,18.13235294117647,False,2019-01-05 00:00:00,2,,136.0,,,,,,,,,,,,,,
